[# ERROR | 2024-03-27 | 17:02:08.568 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:08.679 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:08.773 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:08.881 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:08.976 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.069 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.176 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.270 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.378 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.475 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
